 (4, (0.015, 64)),
 (4, (0.015, 66)),
 (4, (0.015, 68)),
 (4, (0.015, 70)),
 (4, (0.015, 72)),
 (4, (0.015, 74)),
 (4, (0.015, 76)),
 (4, (0.015, 78)),
 (142, (0.02, 10)),
 (129, (0.02, 12)),
 (120, (0.02, 14)),
 (106, (0.02, 16)),
 (88, (0.02, 18)),
 (80, (0.02, 20)),
 (62, (0.02, 22)),
 (54, (0.02, 24)),
 (47, (0.02, 26)),
 (40, (0.02, 28)),
 (37, (0.02, 30)),
 (29, (0.02, 32)),
 (20, (0.02, 34)),
 (16, (0.02, 36)),
 (14, (0.02, 38)),
 (14, (0.02, 40)),
 (13, (0.02, 42)),
 (11, (0.02, 44)),
 (9, (0.02, 46)),
 (9, (0.02, 48)),
 (8, (0.02, 50)),
 (7, (0.02, 52)),
 (6, (0.02, 54)),
 (5, (0.02, 56)),
 (5, (0.02, 58)),
 (5, (0.02, 60)),
 (5, (0.02, 62)),
 (5, (0.02, 64)),
 (5, (0.02, 66)),
 (4, (0.02, 68)),
 (4, (0.02, 70)),
 (4, (0.02, 72)),
 (4, (0.02, 74)),
 (4, (0.02, 76)),
 (4, (0.02, 78)),
 (105, (0.025, 10)),
 (99, (0.025, 12)),
 (85, (0.025, 14)),
 (83, (0.025, 16)),
 (78, (0.025, 18)),
 (69, (0.025, 20)),
 (68, (0.025, 22)),
 (65, (0.025, 24)),
 (53, (0.025, 26)),
 (51, (0.025, 28)),
 (41, (0.025, 30)),
 (36, (0.025, 32)),
 (35, (0.025, 34)),
 (32, (0.025, 36)),
 (30, (0.025, 38)),
 (27, (0.025, 40)),
 (23, (0.025, 42)),
 (17, (0.025, 44)),
 (17, (0.025, 46)),
 (15, (0.025, 48)),
 (12, (0.025, 50)),
 (10, (0.025, 52)),
 (8, (0.025, 54)),
 (8, (0.025, 56)),
 (8, (0.025, 58)),
 (7, (0.025, 60)),
 (7, (0.025, 62)),
 (7, (0.025, 64)),
 (5, (0.025, 66)),
 (4, (0.025, 68)),
 (4, (0.025, 70)),
 (4, (0.025, 72)),
 (4, (0.025, 74)),
 (4, (0.025, 76)),
 (4, (0.025, 78)),
 (81, (0.030, 10)),
 (74, (0.030, 12)),
 (80, (0.030, 14)),
 (69, (0.030, 16)),
 (61, (0.030, 18)),
 (59, (0.030, 20)),
 (55, (0.030, 22)),
 (56, (0.030, 24)),
 (57, (0.030, 26)),
 (50, (0.030, 28)),
 (46, (0.030, 30)),
 (45, (0.030, 32)),
 (42, (0.030, 34)),
 (40, (0.030, 36)),
 (33, (0.030, 38)),
 (28, (0.030, 40)),
 (26, (0.030, 42)),
 (23, (0.030, 44)),
 (24, (0.030, 46)),
 (26, (0.030, 48)),
 (21, (0.030, 50)),
 (20, (0.030, 52)),
 (17, (0.030, 54)),
 (14, (0.030, 56)),
 (14, (0.030, 58)),
 (12, (0.030, 60)),
 (12, (0.030, 62)),
 (11, (0.030, 64)),
 (10, (0.030, 66)),
 (9, (0.030, 68)),
 (7, (0.030, 70)),
 (7, (0.030, 72)),
 (6, (0.030, 74)),
 (6, (0.030, 76)),
 (5, (0.030, 78)),
 (49, (0.035, 10)),
 (48, (0.035, 12)),
 (55, (0.035, 14)),
 (52, (0.035, 16)),
 (51, (0.035, 18)),
 (54, (0.035, 20)),
 (55, (0.035, 22)),
 (45, (0.035, 24)),
 (44, (0.035, 26)),
 (44, (0.035, 28)),
 (38, (0.035, 30)),
 (38, (0.035, 32)),
 (37, (0.035, 34)),
 (38, (0.035, 36)),
 (37, (0.035, 38)),
 (35, (0.035, 40)),
 (33, (0.035, 42)),
 (33, (0.035, 44)),
 (31, (0.035, 46)),
 (28, (0.035, 48)),
 (22, (0.035, 50)),
 (20, (0.035, 52)),
 (18, (0.035, 54)),
 (16, (0.035, 56)),
 (14, (0.035, 58)),
 (14, (0.035, 60)),
 (14, (0.035, 62)),
 (15, (0.035, 64)),
 (14, (0.035, 66)),
 (12, (0.035, 68)),
 (10, (0.035, 70)),
 (10, (0.035, 72)),
 (11, (0.035, 74)),
 (11, (0.035, 76)),
 (11, (0.035, 78)),
 (42, (0.04, 10)),
 (36, (0.04, 12)),
 (36, (0.04, 14)),
 (44, (0.04, 16)),
 (43, (0.04, 18)),
 (41, (0.04, 20)),
 (38, (0.04, 22)),
 (45, (0.04, 24)),
 (40, (0.04, 26)),
 (39, (0.04, 28)),
 (38, (0.04, 30)),
 (33, (0.04, 32)),
 (37, (0.04, 34)),
 (32, (0.04, 36)),
 (27, (0.04, 38)),
 (30, (0.04, 40)),
 (28, (0.04, 42)),
 (24, (0.04, 44)),
 (24, (0.04, 46)),
 (25, (0.04, 48)),
 (25, (0.04, 50)),
 (25, (0.04, 52)),
 (23, (0.04, 54)),
 (21, (0.04, 56)),
 (18, (0.04, 58)),
 (18, (0.04, 60)),
 (17, (0.04, 62)),
 (16, (0.04, 64)),
 (14, (0.04, 66)),
 (13, (0.04, 68)),
 (13, (0.04, 70)),
 (10, (0.04, 72)),
 (8, (0.04, 74)),
 (8, (0.04, 76)),
 (10, (0.04, 78)),
 (32, (0.045, 10)),
 (33, (0.045, 12)),
 (30, (0.045, 14)),
 (30, (0.045, 16)),
 (31, (0.045, 18)),
 (31, (0.045, 20)),
 (40, (0.045, 22)),
 (37, (0.045, 24)),
 (32, (0.045, 26)),
 (34, (0.045, 28)),
 (32, (0.045, 30)),
 (29, (0.045, 32)),
 (32, (0.045, 34)),
 (28, (0.045, 36)),
 (30, (0.045, 38)),
